# OpenSignals Text File Format. Version 1
# {"00:07:80:46:F2:86": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:46:F2:86", "device connection": "BTH00:07:80:46:F2:86", "sampling rate": 1000, "resolution": [16, 16, 16, 16, 16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-5-23", "time": "12:36:8.702", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["GONIO", "GONIO", "EMG", "EMG", "EMG", "EMG"], "label": ["CH1", "CH2", "CH3", "CH4", "CH5", "CH6"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3", "CH4", "CH5", "CH6"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["green", "black", "dark_blue", "white", "light_blue", "black"], "convertedValues": 0}}
# EndOfHeader
0	0	31316	27392	32792	32402	32352	32716	
1	0	31348	27528	32744	32700	32360	32708	
2	0	31336	27512	32892	32593	32516	32764	
3	0	31336	27505	33006	32405	32530	32702	
4	0	31324	27552	32832	32722	32505	32770	
5	0	31316	27504	32774	32401	32520	32736	
6	0	31343	27436	32825	32593	32524	32680	
7	0	31326	27529	32892	32732	32529	32888	
8	0	31357	27516	32874	32448	32469	32720	
9	0	31325	27536	32793	32666	32548	32822	
10	0	31328	27548	32932	32396	32576	32768	
11	0	31328	27520	33012	32740	32600	32700	
12	0	31329	27472	32880	32380	32580	32884	
13	0	31321	27509	32800	32604	32656	32720	
14	0	31310	27534	32992	32547	32492	32738	
15	0	31336	27526	32836	32517	32516	32804	
16	0	31338	27529	32753	32672	32484	32692	
17	0	31336	27355	32900	32436	32441	32848	
18	0	31348	27504	32824	32576	32584	32696	
19	0	31332	27520	32798	32528	32468	32808	
20	0	31320	27552	32852	32714	32485	32713	
21	0	31324	27524	32858	32464	32553	32760	
22	0	31332	27520	32845	32741	32557	32793	
23	0	31337	27462	32796	32444	32538	32704	
24	0	31356	27519	32880	32748	32240	32868	
25	0	31322	27468	32830	32460	32252	32728	
26	0	31341	27519	32692	32564	32273	32732	
27	0	31332	27512	32873	32732	32404	32768	
28	0	31322	27519	32876	32523	32542	32724	
29	0	31333	27512	32661	32761	32588	32835	
30	0	31331	27529	32920	32357	32540	32660	
31	0	31326	27560	33040	32686	32588	32800	
32	0	31361	27536	32853	32438	32500	32764	
33	0	31360	27460	32812	32632	32604	32761	
34	0	31360	27520	33004	32460	32292	32796	
35	0	31343	27478	32821	32628	32261	32677	
36	0	31350	27550	32840	32453	32297	32824	
37	0	31364	27540	32972	32613	32364	32700	
38	0	31335	27449	32840	32554	32316	32704	
39	0	31332	27537	32968	32408	32276	32841	
40	0	31320	27519	32812	32701	32224	32734	
41	0	31329	27528	32742	32596	32216	32653	
42	0	31325	27528	32864	32500	32278	32820	
43	0	31336	27556	32892	32717	32288	32737	
44	0	31365	27526	33047	32384	32490	32748	
45	0	31324	27455	32689	32642	32632	32832	
46	0	31349	27543	32816	32624	32854	32760	
47	0	31324	27540	32860	32448	32791	32680	
48	0	31320	27512	32864	32697	32676	32790	
49	0	31328	27536	32840	32440	32594	32708	
50	0	31320	27541	32796	32684	32528	32876	
51	0	31325	27520	32864	32391	32504	32697	
52	0	31333	27503	32851	32749	32474	32709	
53	0	31344	27516	32720	32376	32294	32836	
54	0	31348	27556	32904	32732	32232	32709	
55	0	31334	27517	32972	32476	32210	32719	
56	0	31328	27435	32880	32688	32252	32822	
57	0	31337	27534	32713	32452	32327	32696	
58	0	31344	27508	33012	32641	32464	32852	
59	0	31338	27548	32829	32546	32564	32701	
60	0	31325	27528	32817	32504	32568	32816	
61	0	31320	27485	32983	32662	32565	32759	
62	0	31340	27524	32829	32404	32570	32732	
63	0	31348	27525	32906	32749	32222	32716	
64	0	31328	27552	33029	32389	32224	32717	
